Date,Open,High,Low,Close,Volume,OpenInterest
2020-01-02,71.41,72.46,71.16,72.4,135480400,0
2020-01-03,71.63,72.46,71.47,71.7,146322800,0
2020-01-06,70.82,72.31,70.57,72.27,118387200,0
2020-01-07,72.28,72.53,71.71,71.93,108872000,0
2020-01-08,71.63,73.39,71.63,73.09,132079200,0
2020-01-09,74.06,74.83,73.81,74.64,170108400,0
2020-01-10,74.87,75.37,74.3,74.81,140644800,0
2020-01-13,75.12,76.43,75.0,76.4,121532000,0
2020-01-14,76.34,76.55,75.25,75.37,161954400,0
2020-01-15,75.17,76.05,74.62,75.05,121923600,0
2020-01-16,75.59,76.1,75.23,75.99,108829200,0
2020-01-17,76.24,76.83,75.93,76.83,137816400,0
2020-01-21,76.46,76.9,76.17,76.31,110843200,0
2020-01-22,76.79,77.13,76.49,76.58,101832400,0
2020-01-23,76.64,77.03,76.09,76.95,104472000,0
2020-01-24,77.2,77.94,76.54,76.73,146537600,0
2020-01-27,74.74,75.15,73.49,74.47,161940000,0
2020-01-28,75.35,76.75,75.25,76.58,162234000,0
2020-01-29,78.21,79.03,77.47,78.18,216229200,0
2020-01-30,77.27,78.12,76.84,78.07,126743200,0
2020-01-31,77.36,77.78,74.31,74.61,199588400,0
2020-02-03,73.35,75.57,72.85,74.4,173788400,0
2020-02-04,76.01,77.05,75.6,76.86,136616400,0
2020-02-05,77.99,78.28,76.88,77.49,118826800,0
2020-02-06,77.76,78.4,77.2,78.39,105425600,0
2020-02-07,77.89,78.14,76.84,77.33,117684000,0
2020-02-10,75.91,77.69,75.83,77.69,109348800,0
2020-02-11,78.19,78.26,77.01,77.23,94323200,0
2020-02-12,77.68,79.06,77.68,79.06,113730400,0
2020-02-13,78.33,78.82,78.13,78.5,94747600,0
2020-02-14,78.47,78.77,78.01,78.52,80113600,0
2020-02-18,76.2,77.26,76.02,77.08,152531200,0
2020-02-19,77.32,78.42,77.32,78.19,93984000,0
2020-02-20,77.96,78.44,76.89,77.39,100566000,0
2020-02-21,76.99,77.43,75.02,75.64,129554000,0
2020-02-24,71.83,73.5,69.89,72.05,222195200,0
2020-02-25,72.72,73.1,69.14,69.61,230673600,0
2020-02-26,69.23,71.98,69.23,70.71,198054800,0
2020-02-27,67.92,69.11,65.95,66.09,320605600,0
