Date,Open,High,Low,Close,Volume,OpenInterest
2020-01-02,150.42,152.26,149.99,152.16,22622100,0
2020-01-03,149.98,151.52,149.73,150.26,21116200,0
2020-01-06,148.8,150.72,148.26,150.65,20813700,0
2020-01-07,150.93,151.26,149.03,149.28,21634100,0
2020-01-08,150.56,152.33,149.63,151.66,27746500,0
2020-01-09,153.31,153.67,152.55,153.55,21385000,0
2020-01-10,154.24,154.62,152.69,152.84,20725900,0
2020-01-13,153.24,154.71,152.76,154.68,21626500,0
2020-01-14,154.78,154.98,153.2,153.59,23477400,0
2020-01-15,154.05,155.3,154.01,154.58,21417900,0
2020-01-16,155.69,157.48,155.39,157.42,23865400,0
2020-01-17,158.6,158.65,156.71,158.3,34371700,0
2020-01-21,157.9,159.33,157.66,157.73,29517200,0
2020-01-22,158.58,158.67,156.95,156.97,24138800,0
2020-01-23,157.43,158.01,156.56,157.94,19680800,0
2020-01-24,158.69,158.7,155.79,156.35,24918100,0
2020-01-27,152.66,154.77,151.76,153.73,32078100,0
2020-01-28,155.15,157.03,154.48,156.74,24899900,0
2020-01-29,159.0,159.86,156.96,159.19,34754500,0
2020-01-30,164.88,164.88,161.79,163.68,51597500,0
2020-01-31,163.14,163.32,160.65,161.26,36142700,0
2020-02-03,161.45,165.31,161.42,165.19,30107000,0
2020-02-04,167.81,171.12,167.02,170.63,36433300,0
2020-02-05,174.34,174.5,169.01,170.42,39186300,0
2020-02-06,171.44,174.14,170.57,173.96,27751400,0
2020-02-07,173.22,175.85,172.87,174.2,33529100,0
2020-02-10,173.91,178.89,173.6,178.76,35844300,0
2020-02-11,180.61,180.65,173.83,174.72,53159900,0
2020-02-12,175.8,176.06,172.27,174.98,47062900,0
2020-02-13,173.44,176.42,173.24,174.03,35295800,0
2020-02-14,173.6,175.64,173.03,175.59,23149500,0
2020-02-18,175.83,177.81,175.73,177.37,27792200,0
2020-02-19,178.64,178.75,177.13,177.9,29997500,0
2020-02-20,177.59,177.87,172.03,175.18,36862400,0
2020-02-21,173.99,174.31,168.37,169.64,48572600,0
2020-02-24,159.37,165.81,155.05,162.33,68311100,0
2020-02-25,165.47,166.08,159.25,159.65,68073300,0
2020-02-26,161.21,164.58,159.78,161.65,56206100,0
2020-02-27,155.14,158.66,150.07,150.26,93174900,0
2020-02-28,144.78,155.51,144.39,153.89,97012700,0
2020-03-02,157.03,164.26,154.18,164.13,71030800,0
2020-03-03,165.09,166.23,154.13,156.27,71677000,0
2020-03-04,160.05,162.15,157.32,162.01,49814400,0
2020-03-05,157.73,162.31,157.39,157.94,47817300,0
2020-03-06,154.46,154.94,148.19,153.48,72821100,0
2020-03-09,143.44,149.85,142.49,143.07,70419300,0
2020-03-10,150.24,152.96,144.94,152.86,65354400,0
