Date,Open,High,Low,Close,Volume,OpenInterest
2020-01-02,296.48,297.72,295.55,297.7,59151200,0
2020-01-03,294.3,296.57,294.24,295.44,77709700,0
2020-01-06,293.69,296.65,293.57,296.57,55653900,0
2020-01-07,296.0,296.48,295.29,295.74,40496400,0
2020-01-08,295.93,298.53,295.68,297.31,68296000,0
2020-01-09,298.88,299.4,298.29,299.33,48473300,0
2020-01-10,299.92,300.07,298.0,298.47,53029300,0
2020-01-13,299.09,300.53,298.66,300.52,47086800,0
2020-01-14,300.08,301.14,299.5,300.06,62832800,0
2020-01-15,299.97,301.5,299.89,300.74,72056600,0
2020-01-16,302.13,303.24,301.9,303.24,54050300,0
2020-01-17,303.96,304.4,303.18,304.19,95846000,0
2020-01-21,303.22,304.4,303.15,303.59,77742400,0
2020-01-22,304.45,305.1,303.47,303.63,48914900,0
2020-01-23,302.98,304.39,301.86,303.98,51963000,0
2020-01-24,304.64,304.72,299.98,301.27,87578400,0
2020-01-27,296.01,297.93,295.67,296.44,84062500,0
2020-01-28,297.87,300.43,296.54,299.55,63834000,0
2020-01-29,300.92,301.14,299.1,299.3,53888900,0
2020-01-30,297.23,300.48,296.48,300.27,75491800,0
2020-01-31,299.65,299.81,293.91,294.82,113845600,0
2020-02-03,296.31,298.88,296.19,297.01,69083000,0
2020-02-04,300.63,302.41,300.31,301.54,62573200,0
2020-02-05,304.48,305.23,303.01,305.02,65951100,0
2020-02-06,305.98,306.24,304.97,306.05,50359700,0
2020-02-07,304.98,306.06,303.87,304.42,64139400,0
2020-02-10,303.53,306.75,303.49,306.69,42070000,0
2020-02-11,308.04,308.83,306.69,307.22,54864500,0
2020-02-12,308.66,309.41,308.29,309.2,43992700,0
2020-02-13,307.77,309.84,307.49,308.87,54501900,0
2020-02-14,309.28,309.48,308.08,309.36,64582200,0
2020-02-18,308.37,309.43,307.17,308.57,57226200,0
2020-02-19,309.54,310.72,309.25,310.04,48814700,0
2020-02-20,309.49,310.32,305.77,308.77,74163400,0
2020-02-21,307.41,307.72,304.76,305.59,113788200,0
2020-02-24,296.11,305.66,294.37,295.45,161088400,0
2020-02-25,296.85,297.46,285.62,286.5,218913200,0
2020-02-26,287.9,291.5,284.71,285.45,194773800,0
2020-02-27,279.91,285.5,272.63,272.63,284353500,0
2020-02-28,264.55,272.98,261.66,271.48,384975800,0
2020-03-02,273.27,283.3,269.83,283.24,238703600,0
2020-03-03,283.61,287.59,272.68,275.13,300139100,0
2020-03-04,280.52,286.91,277.96,286.69,176613400,0
2020-03-05,279.47,282.67,274.92,277.16,186366800,0
2020-03-06,268.63,273.79,265.96,272.58,228667200,0
2020-03-09,252.27,260.42,250.58,251.29,309417300,0
2020-03-10,260.83,264.39,250.63,264.3,276444100,0
2020-03-11,257.22,258.36,248.22,251.41,255316300,0
2020-03-12,234.59,244.36,226.96,227.36,392220700,0
2020-03-13,241.09,248.77,227.73,246.8,329566100,0
2020-03-16,221.01,235.41,217.51,219.79,297240000,0
2020-03-17,224.55,234.74,217.24,231.66,262070500,0
2020-03-18,216.49,227.6,208.95,219.93,327597100,0
2020-03-19,219.24,226.69,212.8,220.39,289322000,0
2020-03-20,223.55,225.34,210.62,210.9,347158800,0
2020-03-23,210.33,211.71,201.18,205.5,326025200,0
2020-03-24,216.08,225.0,215.51,224.12,235494500,0
2020-03-25,225.71,236.29,220.99,227.48,299430300,0
2020-03-26,230.0,242.24,229.56,240.76,257632800,0
2020-03-27,233.45,240.4,231.41,233.59,224341200,0
2020-03-30,235.69,241.9,233.69,241.18,171369500,0
2020-03-31,240.17,242.72,236.17,237.58,194881100,0
2020-04-01,228.58,237.5,224.82,226.89,189554600,0
2020-04-02,226.0,232.91,225.45,232.12,177660400,0
2020-04-03,231.14,233.5,226.03,228.77,135561200,0
2020-04-06,237.66,246.11,228.75,244.14,188061200,0
2020-04-07,252.75,253.51,244.16,244.38,201427200,0
2020-04-08,246.99,254.4,244.49,252.59,153774500,0
2020-04-09,255.86,259.2,253.91,256.43,189999200,0
2020-04-13,255.45,255.8,250.17,254.09,114839100,0
2020-04-14,258.99,262.61,253.95,261.58,134143400,0
2020-04-15,255.85,261.72,253.91,256.03,121775000,0
2020-04-16,257.31,258.12,254.18,257.26,131798300,0
2020-04-17,263.05,264.82,260.3,264.21,146684800,0
2020-04-20,260.5,264.35,259.33,259.56,100109300,0
2020-04-21,255.08,256.28,250.73,251.68,126385700,0
